author,updated_at,like_count,text,public
@haneulkim4902,2023-08-03T06:27:02Z,0,Thanks! Do you know how to use multi-CPU for training DNN in tensorflow ?,True
@premsaivadlaputi6667,2023-03-26T06:34:41Z,0,Sir can you please explain use_multiprocessing=true  for a cnn model I'm getting error while using it in fit generator,True
@yosayaan7013,2023-02-21T14:50:27Z,1,⭐,True
@mohamedamroune9864,2022-12-02T22:26:31Z,0,Thanks for this vidéo plz how can we execute a deep Learning model with mpi4py,True
@woonie3134,2020-11-25T21:02:31Z,0,Hi can u make a video on food classification. How can u extract the label of a classified image when working with a large dataset? I would like to classify food image and recommend recipes based on the label identified but I am not understanding how to do this. I WOULD kindly ask a tutorial on this matter. There is barely information on food related projects plz,True
@janakiraam1,2020-11-25T02:58:20Z,0,Thanks a lot sir .,True
@datasciencewithdeepansh8685,2020-11-24T17:13:44Z,2,"whar a great teacher you are ,its shame ppl who abuse on youtube get millions of views . and ppl who  r actually doing somthing  get this less view . sorry from me",True
@ArunKumar-sg6jf,2020-11-24T14:52:17Z,1,which type of machine learning projects for fresher,True
@aayushchapagain1427,2020-11-24T14:20:35Z,2,"Excuse me sir, Please reply me ok. I am from Nepal. I am a Computer Science student at grade 11. My target is to be a most expert data scientist in future. What should I do from right now As I am learning Python basics.  Please suggest me to meet my  target. Please Reply me sir ok.",True
@nilakantas5153,2020-11-24T14:15:21Z,1,thank u sir,True
@skvali3810,2020-11-24T14:11:02Z,0,Because of your suggestion I joined the Inueron course. I am fallowing you for the past one year now. I am completely fallowing your work style now I am getting confused which one I have to fallow,True
@skvali3810,2020-11-24T14:03:08Z,0,May I know whay,True
@skvali3810,2020-11-24T14:01:54Z,0,The playlist what you have about  end to end projects is it real time project deployment process. There is lot of difference between your deploying process and  Inureon project development process,True
@antonyamalrajmorais160,2020-11-24T13:49:01Z,1,Very helpful Krish Naik.,True
