author,updated_at,like_count,text,public
@BrutFab,2023-07-30T09:52:09Z,0,I did a marathon of sentdex qa videos,True
@Daniel_leading_the_13_Plateans,2021-08-21T17:21:36Z,0,Well I'm 15 guess I'm in the 1%,True
@Priestessfly,2021-07-06T17:53:40Z,0,how come you have viewers from China?,True
@ThamjithThaha,2021-05-09T12:24:47Z,0,"yes, im still watching",True
@opkp,2021-05-06T19:59:23Z,0,Still watching!,True
@neuron8186,2021-04-25T14:40:24Z,0,Really disappointed when he showed us watch time,True
@sunflower4031,2021-04-09T08:50:28Z,1,Im 10 yrs old,True
@souravjha2146,2021-02-28T09:34:28Z,0,I can proudly say that i have been watching this channel from past 1.5 years....and i guess i clicked every videos within a day of release,True
@projectcore8896,2021-02-17T02:05:29Z,0,"I don't know about other people, but I lied about my age for google.",True
@bhaskersriharshasuri7359,2021-02-10T03:06:14Z,0,I am Indian and I am still here at 4 mnts 😂😂😂,True
@PeterLunk,2021-02-05T23:19:00Z,0,48 Year Old Male So? When is the party ? :P,True
@dr.merlot1532,2021-02-03T23:44:03Z,0,sentdex=Edward Snowden,True
@mrjt6404,2021-02-01T16:36:21Z,0,"Hey what's your monitor, link plz",True
@mrfrozen97-despicable,2020-12-31T15:45:06Z,0,Cool,True
@oneminutetomidnight,2020-12-28T01:45:20Z,0,"my 98yr old grandma watches this, from deep in the ozark mountains. she's still on dial-up, but she's really excited about coding so many python ad bots for her the decentralized ad network she also coded for her seed-trading business.",True
@auraSinhue,2020-12-11T23:48:27Z,0,You got a new follower only for that great t-shirt.,True
@yash-ei1gv,2020-12-03T10:48:00Z,0,"Most teenagers put their age in 18-24, so they are able to access unfiltered content",True
@ranahrantau4517,2020-11-25T09:30:16Z,0,Respect and Thank You from Indonesia ID,True
@ravikishan4116,2020-11-24T08:00:56Z,0,"Indian are not like programming , they love programming",True
@programmerrdai,2020-11-16T02:02:35Z,1,I am 11 where am I??,True
@XOPOIIIO,2020-11-12T12:12:47Z,2,"Women audience is small because women are usually not interested in programming, economics, sciences, tecnology and similar stuff.",True
@anandiborade6349,2020-11-08T11:15:50Z,0,I'm in the age group 11-14 and I am currently watching your Machine learning Tutorial . My age is 12 and I am in 10% female group also in India group and I understand your tutorials word to word (you teach soo well)Thank you !!,True
@2pi628,2020-10-28T13:39:05Z,0,"Must be said... No explanation necessary  for having a high ratio of Men to women. Women in general think differently than men. And we all know that women have been bombarded with Skinner-esque conditioning (via social media and all forms of entertainment) to become interested STEM professions. Even so, the numbers are not what the social reformers desire. They are battling human nature.",True
@prashantsharmastunning,2020-10-26T18:24:22Z,0,geojson error..!,True
@MrZ0r0,2020-10-15T15:01:31Z,0,GREAT BAND SHIRT!,True
@tak68tak,2020-09-30T11:46:54Z,0,from Japan. Your videos are really awesome. Thanks a lot.,True
@makarbaderko,2020-09-27T15:10:29Z,0,"Hey, I'm a 12-year-old Russian boy. I'm not on the table!",True
@hacksoflife2739,2020-09-17T08:20:17Z,0,I am an Indian And I Watch Your Videos 10 Times A Day,True
@nomanislam3157,2020-08-29T05:50:29Z,0,I am from Bangladesh. I still study in India . I want to join your channel..,True
@robertpietraru1939,2020-08-23T10:45:32Z,0,As a kid that used to watch your videos on my father's account when I was 11 I can say with confidence that you have more 13-17 audience than you think,True
@immersionmusic,2020-08-13T20:20:57Z,0,65+ yo => Donald Knuth is watching so try to not say anything technically and factually wrong,True
@aakupsp,2020-08-12T22:10:05Z,0,The United States population is also Indian and Chinese population in disguise :),True
@Avinashskurup,2020-08-12T21:54:22Z,0,Which BI tool are you using to Visualize the website data in this video ?,True
@mehdiozel517,2020-08-12T10:44:59Z,0,"Hi, you have followers from Turkey too mate. :)",True
@Leylan24,2020-08-05T18:04:23Z,0,What Linux distro do you use?,True
@marcovalentinoalvarado3290,2020-08-03T23:52:24Z,0,I think im the only one from Argentina :( also the only one reptilian,True
@lolvivo8783,2020-07-30T08:59:57Z,2,Some Indians know how to find the right stuff. Namaste Sentdex,True
@Talktech101,2020-07-30T06:38:13Z,0,And I am from the country Nepal:),True
@crypticcoding9680,2020-07-30T05:57:56Z,0,I am from Bangladesh.,True
@geeksy2278,2020-07-29T19:55:29Z,0,Awesome! BTW nearly 1Mio Subs! WOW! Question: What kind of tool do you use to visualize the data?,True
@jewelafraim7379,2020-07-25T07:52:45Z,0,Myself an INDIAN😍😍😍,True
@aniketpatil6111,2020-07-25T06:35:58Z,13,"Bro I am 23 now, and watching you since 2015 when I was 17 :). First as a self taught programmer watched django, go lang etc. When I college while in college watched Neural Networks will be publishing my research paper on Deep learning and going for masters. I appreciate your work. :) And I am Indian as well. :)",True
@ChessFlix,2020-07-25T05:28:20Z,0,"These statistics are super interesting. I'm just getting started with my youtube channel, and I'd be interested in knowing how your data looked when you first started making videos.   I'm curious about what traits successful channels share in their infancy.",True
@TechWithRushabh,2020-07-15T05:13:07Z,0,well i am 15,True
@Coderama,2020-07-12T16:25:06Z,0,Where is thenewboston,True
@sajalvasal5073,2020-07-11T09:53:54Z,0,Still Watching .. .lol,True
@sohampatil6539,2020-06-29T18:59:18Z,0,5:07 still watching!,True
@FelixIaccarino,2020-06-24T20:04:10Z,0,"im the argentinan boy that wanted to donate in bitcoin, only when you use PEERTUBE and maidsafe as platforms.... and not this centralize shit still love u <3",True
@sakshamwane667,2020-06-13T08:15:35Z,0,India is awesome,True
@antonelaabicic3028,2020-06-08T09:33:28Z,1,"Where did you get these statistics? If you have made them yourself, can you make a video about how you made them?",True
@vjp2866,2020-05-29T10:09:24Z,0,I'm from India and your videos are worth watching !,True
@lucygaming9726,2020-05-26T18:07:01Z,2,"I am from India. Discovered your channel in 2019 at start of sophomore year. Learnt python, came back and learnt Flask, and now learning Neural Net from Scratch.  You are hands down, one of the best Python development channel out there.",True
@symbolxchannel,2020-05-22T20:31:08Z,0,Your audience by age seems to follow a Gamma distribution (alpha=6 beta=5)... Or something like that.,True
@saikrishnaa4201,2020-05-22T15:16:55Z,1,😂😂😂😂😂👍🏻 I'm watching,True
@giovannipizzato6888,2020-05-22T14:16:03Z,0,AHHHHHH I F*CKING LOVE YOUR OCTOPUS MUG AT 2:57,True
@Drew_Vernon,2020-05-21T22:25:52Z,0,That Cthulhu cup is terrifying.,True
@vedangpingle1914,2020-05-15T17:26:04Z,0,Am I the only one who caught the Boring company flamethrower in the background?,True
@southgecko3653,2020-05-14T06:24:20Z,0,"I found your channel when I began my coding journey starting with python. You are by far the best when it comes to python and especially ML. Also, you listen and respond to your community. Thank you for your amazing content I've been subbed to you for about 4 years.",True
@visheshpandita2787,2020-05-13T18:57:28Z,0,yo still watching...,True
@PratikAnand,2020-05-12T19:23:37Z,0,"Discovered your channel while trying to search for PyQt back in 2016, from India. Subscribed since then. I now search “python sentdex (topic)” every time",True
@rohanthorat4282,2020-05-08T03:17:36Z,0,I was about to click of the video until u decided to break the wall XD,True
@evrider9063,2020-05-07T23:49:34Z,0,Looks like you have an audience in the Numerai Forums ... sendex API referenced as a potential data source. Maybe you'd be interested in doing a video on Numerai tournament? https://forum.numer.ai/t/free-or-cheap-data-for-erasure-numerai-quant/350,True
@iffyschannel,2020-05-05T12:51:25Z,0,Any other girls here?,True
@trapworld3023,2020-04-30T15:54:28Z,0,hey u tell everything about ytd channel one thing I want to know he much u earn from ytd...,True
@anantk2675,2020-04-20T19:01:00Z,1,you look like aaron paul   ps: I am an Indian,True
@muser5448,2020-04-18T23:51:23Z,0,"To be honest, I have followed you for a few months and one day I google my problems, finding you again~",True
@raptorrogue4227,2020-04-17T10:32:06Z,0,Still watching!,True
@realtigeronline,2020-04-13T04:06:59Z,2,They are people who aren't getting help from stack overflow,True
@asdfasdf-vp9up,2020-04-13T01:05:45Z,1,lol the parks and rec shirt,True
@mersancanonigo1018,2020-04-12T15:11:17Z,0,we love you sir. from PH a CS student :),True
@naveenkalhan95,2020-04-12T10:34:51Z,0,I guess Indians abroad are making up as well... ✌🏻✌🏻✌🏻happy about it 🙂,True
@trouserpython3857,2020-04-12T10:19:50Z,1,Youtube sounds like a sausage fest Sentdex,True
@nexovec,2020-04-12T09:34:22Z,0,they have python programmers in greenland whaaat,True
@karanroy-vr1wn,2020-04-12T08:13:26Z,0,yaa i am still watching....(indian),True
@sbcinema2363,2020-04-11T21:06:28Z,0,"India is waking up technologically!? LOL, bad analysis there. Indians already have a big prevalence in the sciences, engineering, and medical fields. The cliche of the Indian engineer can be seen in the 80's with movies like Short Circuit, with Fischer Stevens playing an Indian inventor of the Johnny 5 robot!  The main reason is twofold:     1) India had a huge population growth rate of ~2% in the 1980-2000 period, that resulted in about 500 million children that will reach adulthood around now, a portion of which are interested in python stuff. That's 1.5x the ENTIRE population of the US! That's the number young adults in India. 1% of that is 500k viewers.    2) English is a big part India languages. Not so in China. If you make a Chinese translated version of your videos, you should see a huge rise in viewrship from there. There is a reason why you see some YouTube reaction channels by non-Indian people cater entirely to watching and reacting to India-centric news and entertainment. The sheer number of views they get are huge!",True
@viditkhanna3721,2020-04-11T21:05:12Z,0,The sad part is developers in India are not paid much like in other countries.,True
@davidanalyst671,2020-04-11T20:39:20Z,0,"look at those gender numbers.  Sent is going to do next video shirtless with a spraytan.   I want to see mr Dex do some drone hoard programming, put some LED's on them, and give us a show!!!",True
@bucketofjava5754,2020-04-09T20:01:12Z,1,I love your squid mug,True
@onstr,2020-04-09T11:41:49Z,0,Subscribed and hit the bell.  You're not doing anything wrong imo.,True
@jerryzhang6088,2020-04-08T17:50:55Z,0,Wondering what's that blue bottle on top of your screen?,True
@omeralimalik5343,2020-04-08T13:08:58Z,0,"Im 12 so I dont probably exist this my dad's account btw. I m learning algebra 2 , trinometry , calculus , linear algebra from khanacademy just to follow along . I know C , C# , Java and python . I am slowly learning openCV and tensorflow but I mainly work with selenium bots in python , and I made my own chatbot its not that advanced but I am proud of it.",True
@Th3Jagi,2020-04-06T17:30:30Z,0,hello from germany :D,True
@davidcristobal7152,2020-04-06T14:12:36Z,0,"Probably, people using machines in azure, amazon, etc, sometimes use them to navigate to your web.",True
@hakimr7986,2020-04-04T10:08:50Z,0,9:27 interesting split,True
@biswaviraj,2020-04-01T13:35:57Z,12,One of the reasons that Indian audiences have grown so much is due to the Internet revolution by JIO company that happened during late 2016 or so...The internet data rates are cheap now as compared to  2015 or before,True
@pwn0x80,2020-04-01T10:09:21Z,0,From india!,True
@ironic9107,2020-04-01T06:46:31Z,0,"I have a query, I searched the whole internet about it and found out nothing, its related to Kivy. I have a pink coloured button, what happens is when I press it, the colour changes to a blueish-aqua tint, which is not what I want, I want the color of the button to stay as it is when it is in normal state, pink. I have tried using things like, background_color_down, on_press: background_color, etc, etc. none of it worked and it still gives a blueish tint when I press it, please help and btw I learned Kivy from your Kivy tutorials playlist, keep up the goood work man, <3 (edit) I watched this video till the end, and yeah I am from India....",True
@am1d3b31,2020-03-31T23:20:26Z,0,Any other <17 year olds here :P,True
@saleem801,2020-03-30T15:50:01Z,0,would be nice if you could index your viewership by base demographics. e.g gender breakdown of average number of viewers of all male channels vs yours. country would be an interesting one,True
@Argoo41,2020-03-29T19:57:00Z,0,Hi! What monitor do you use here? is it 27 or 34?,True
@nodakhunter,2020-03-29T13:20:13Z,0,I am old 45 and still enjoy your videos. Not subbed because Its mostly problems I am searching and you are the man!,True
@cyberianoid,2020-03-29T05:38:43Z,0,00:02:46 *This countries statistics means that I am only ONE who watch Sentdex channel from Russia!* :) Cool! I am only ONE! ))),True
@danielcanedo5240,2020-03-29T03:17:13Z,0,Im from Bolivia!!!,True
@celebritieslife754,2020-03-28T18:46:30Z,1,ha ha video at 14:30 what do u think Tesla was looking at 😂😂😂😂 God i cant even watch other channels tutorial please do release videos quickly      also the neural network from scratch when r u gone release it,True
@Ihavetoreturnsomevideotapes,2020-03-28T06:41:19Z,0,lol 5:07 still watching,True
@vtvtify,2020-03-27T19:03:01Z,0,Avarage is 20? lol I started watching sentdex when I was 10-12 year old. today I am 16 years old and I am still in the minority group,True
@noneedtoknowthishandle,2020-03-27T07:37:58Z,0,God bless India.,True
@neilarmstrong5810,2020-03-27T04:43:28Z,0,"I am subscribed to the ""SentDex"" YouTube channel and find it very useful. Thank you. However, to me, it occurs that since pythonprogramming.net is just a site that directs to YouTube anyway, it make more sense to directly subscribe to YouTube channel.   one way that could improve the viewership and reduce bounce rates from pythonprogramming.net is that you have better video recommendations.   For instance, if a user searches ""how to open and read file?""; that should display all the relevant content you have over the site across all the playlists/ courses. This will let user hooked to the site longer.   I spend lot of time browsing through the channel and playlists to figure out relevant content; that why I can tell.",True
@jakurdav,2020-03-27T03:53:12Z,0,95% of audience are male   Let's get that sausage party started!! 🙌🙌,True
@dyvel,2020-03-26T15:17:52Z,0,Not me!,True
@byronlovelace8379,2020-03-25T22:51:32Z,0,I thought many people who are into data analysis would opt out of letting Google track their personal stats when logged into youtube. I wonder how big that silent audience is.,True
@lowzyyy,2020-03-25T15:56:59Z,0,Which microphone are you using?,True
@crazyoldhippieguy,2020-03-25T11:57:14Z,0,"25-03-2020,Male,65,Maltese by birth living in Germany 82285. Sculptor.Wash your hands.",True
@nabil.hamawi,2020-03-24T19:02:12Z,0,you don't make money from your blog or youtube? what the heck,True
@pavankumarsomanchi9130,2020-03-24T11:22:53Z,0,I am very big fan of this channel..... My motivation to learn AL/ML is started from this channel.... because of the way the videos and content are created .. Thanks alot Sentdex !,True
@hamza-325,2020-03-23T21:55:49Z,4,5:38 Look at Algeria! The only dark country in Africa. It seems that we are your biggest fans there :D,True
@jamesanderegg7655,2020-03-23T18:19:47Z,0,I share your name quite a bit on CS50 Harvard Facebook page.,True
@jiandeng8595,2020-03-23T13:23:57Z,0,sounds like the weather report on first  hearing🌚,True
@Humnbrd,2020-03-23T12:05:40Z,0,"Came across your channel yesterday, love your Python 3.7 tutorials! I'm glad you took the practical approach than the boring going-over-the-basics-for-the-first-50-videos approach! <3",True
@heri_prieto,2020-03-23T00:30:12Z,0,"Makes sense, I assume this channel is attractive to those out of college that have time and want to learn a new industry. Or like me, no college, software engineer wanting to get into data science.",True
@vend57,2020-03-22T12:50:16Z,0,There was this 4G revolution in India around the late quarter of 2016. All the internet prices came down massively. It would be great if you see those stats.,True
@mnazaal,2020-03-21T20:17:07Z,0,Hello from the Maldives! I started watching your videos near the end of high school 5 years ago :),True
@traderdude9098,2020-03-21T17:42:02Z,0,"Wow. I just discovered this channel. Love your content, SentDex.",True
@thefamousdjx,2020-03-21T11:14:15Z,0,I really want to know your gym and eating program I notice a cool significant change lol,True
@sharpEAGLES,2020-03-21T11:07:27Z,0,5% female :D,True
@chiragprajapati6312,2020-03-21T05:29:52Z,0,which monitor you are using??,True
@subratadhikari978,2020-03-21T04:35:48Z,0,I want to know about viewer from Nepal,True
@michaelyadidya8742,2020-03-21T01:50:14Z,0,Found your channel while I was randomly looking for ML videos back in 2018.    BTW I am from India and I am still watching 😊😊😊,True
@annemuller9732,2020-03-20T22:03:44Z,0,"Greetings from a German 14 year-old boy that has 5 years python experience ^^  PS: Yes, that boy is me XD",True
@mankybrains,2020-03-20T20:43:00Z,0,Wouldn't it be funny if the people at Microsoft were watching your videos to solve the solutions over there?  Maybe that's why the high number.,True
@Erickzy,2020-03-20T20:30:48Z,0,"I just spam the right arrow to speed up the video, also 1.5x works",True
@reaganwang6512,2020-03-20T19:32:32Z,0,"Honestly, thank you again for this channel and pythonprogramming.net is the place I learn anything about python",True
@xwaf6159,2020-03-20T18:22:42Z,0,thanks for the shoutout,True
@PrabhatKumar-fn4vy,2020-03-20T17:11:31Z,0,Remove india from this planet 🤣🤣🤣,True
@SandwichMitGurke,2020-03-20T14:40:13Z,0,have you thought about uploading videos in 60fps? I started watching some videos in 2x speed and maybe sound quality would be better with 60fps,True
@preethamrakshithp3522,2020-03-20T13:00:01Z,0,can you make a tutorial on tf .data  :/,True
@ridwa,2020-03-20T12:43:40Z,1,"Mouse Rat, Best  band ever! :)",True
@inkydice6788,2020-03-20T12:00:21Z,3,"Why there is So few girls?? I didn't think we were so little interested in this kind of content, it's super interesting",True
@olee_7277,2020-03-20T11:47:02Z,0,Female is now 10%... dude its 2020 you think those are real females ? lol carry on,True
@atineshs,2020-03-20T08:40:14Z,0,Watching from India,True
@hldelta,2020-03-20T06:14:13Z,2,Brasil 🇧🇷🇧🇷,True
@muhammadaliyu4955,2020-03-20T05:49:18Z,0,Who are the sendex audience. A mistake : is,True
@3006spikespiegel,2020-03-20T04:55:57Z,0,"I don't know.. but MAYBE tesla was showing your videos as a threat: LOOK AT THIS S***... IF YOU DON'T DO YOUR JOB PROPERLY, YOU'LL END UP CODING THIS WAY!!!!",True
@mohankrishna-vt8xd,2020-03-20T04:24:33Z,0,I'm from India and I am still watching.....,True
@theonlyjuan4566,2020-03-20T02:17:40Z,1,"I expected Mexico to be at least top 10, kinda disappointed ngl",True
@ahmetakil787,2020-03-20T00:56:02Z,0,Greetings from Turkey please do more OpenBCI videos,True
@khaki714,2020-03-20T00:17:16Z,0,Go on sentdex,True
@frederick3524,2020-03-19T23:38:49Z,0,"I know some people who never use the address bar.  They type the website address in the search bar and click on its link.  I'm guessing that would show as an organic search, even though they type the full website name.",True
@ulissemini5492,2020-03-19T23:33:00Z,0,"I promise you there are more young people, I'm 15 but I sign up for everything as if I was 20+ to avoid restrictions.",True
@ashishhota79,2020-03-19T22:45:12Z,0,"You are gonna offend a  lot of Indians because of that map, which is not your fault but the fact that there is no accurate maps. Every map is slightly different from country to country. BTW love your channel and i took cs in my college because of your channel. Thank you for creating this channel.",True
@praveensingh1744,2020-03-19T22:32:55Z,0,5:05 i m still watching XD,True
@faycalguerouali3545,2020-03-19T20:29:04Z,0,"hi sentdex, you are smart person, and you know python and ML very well. can you think about a usecase for coronavirus ...",True
@aidarzharassov3625,2020-03-19T20:12:39Z,0,saw boring Blaster on Background,True
@Sockheadrps,2020-03-19T20:08:13Z,0,Dude you called out youtubes web designers hahahahaha,True
@retiber1,2020-03-19T19:23:37Z,0,I'm from Russia.,True
@gautamakshay2761,2020-03-19T17:42:48Z,0,"I have subscribed to your channel to just stare at those A2212 BLDC motors. Kidding ,love from India🇮🇳.",True
@your_boy_lamine,2020-03-19T17:13:13Z,0,PhD Student here from Senegal.,True
@rizkifajarnugroho8459,2020-03-19T16:39:30Z,0,Hi I came across with your neural network from scratch books. Can I still pre order that?,True
@Joshua-dl3ns,2020-03-19T16:18:02Z,0,0:44 im in 13-17 age group! :D,True
@tappiera,2020-03-19T16:07:33Z,0,who is Adrian?,True
@megamodz5326,2020-03-19T15:51:10Z,1,That flame thrower got my attention all over the time. i need it badly,True
@vatsalbirthday,2020-03-19T15:26:47Z,0,The data is brilliant. Thanks for sharing I am from India and mostly watch the full video.BTW that Flamethrower just took all my attention so coooooooooooool,True
@Shah_Khan,2020-03-19T15:04:46Z,0,Just want to say Love your channel!!!,True
@user-tz1gh8tv9o,2020-03-19T14:56:05Z,0,a  secret shout out from beijing,True
@erfantaghvaei3952,2020-03-19T14:01:55Z,1,"I watch you from Iran but because  we use a VPN due to internet censorship it will probably show another country in the charts, Respect man",True
@reza2690,2020-03-19T13:33:23Z,0,"Indonesians.. raise your hands, y'all !!!",True
@suyash.01,2020-03-19T12:53:50Z,0,"Namaste, sentdex.",True
@KishoreKumar-uz8ir,2020-03-19T12:17:52Z,0,Hello Harrison. I am from India and I love your videos so much. I have huge respect for you and I am taking this opportunity to thank you from the bottom of my heart. Your python plays GTA V series served as a huge inspiration for me. I used your concept to make a mini self driving car prototype using jetson nano. It is a car that can drive on its own in a track using conv nets. This project wouldn't have been possible without you and I owe you a lot. I have even made sure to mention your name in my project report. I thank you once again. Your content is a treasure trove for anyone who is hoping to enter into AI and ML. Everyone deserves to receive your knowledge and I will make sure to become a channel member once I start earning.....  I would be very happy if you took a moment to check out the video of my project. It is a short video spanning over 6 minutes: https://youtu.be/TXqMaFrzIGY,True
@businassman,2020-03-19T12:12:24Z,0,Am I only one from Russia?,True
@fungkh1625,2020-03-19T11:54:16Z,0,Hong Kong,True
@syedaqib2912,2020-03-19T10:40:48Z,1,*indians* 👍,True
@TheMr82k,2020-03-19T10:23:05Z,0,Even though you have steered completely into to ML and AI which is not my type but I still follow you. I like your vibe and can't forget the your videos from past that has helped me a lot.,True
@ww1593,2020-03-19T09:02:11Z,0,Congrats Harrison been subscribed since 2016,True
@shibaayanmaity,2020-03-19T08:40:23Z,0,4:50 Boss I'm still watching XD But nice joke. LOL. 10:10 Very amazing pronunciation of DuckDuckGo :P,True
@goutham94,2020-03-19T08:35:25Z,0,Your videos on pyplot was incredibly helpful for me and now helpful for my juniors as well. You are doing an incredible job and I want you to know that we appreciate you. Please do keep up the good work ❤️,True
@alexmolyneux816,2020-03-19T08:16:43Z,0,Love the Parks and recs t shirt,True
@satyamedh,2020-03-19T05:58:43Z,0,5:08 meeee,True
@satyamedh,2020-03-19T05:57:01Z,0,"3:37, yeah, if you are indian, like this comment",True
@willykitheka7618,2020-03-19T05:30:32Z,0,This is nice! Boring Company in the background!,True
@tariknavarro87,2020-03-19T05:17:50Z,0,More than three years following your work down here from Brazil!,True
@alauddinfaya1415,2020-03-19T05:11:19Z,0,the thing is that usually your explanation is like u  explain to professional,True
@manaspaul,2020-03-19T04:39:25Z,0,"I am inspired by you and started my blog in 2019 july about Django written tutorials ( manascode.com ) , It seriously helps a lot to learn by teach something. Love from India ♥",True
@rahulpawar904,2020-03-19T04:01:18Z,0,Thank you brother 👍 your video really really help in my project 😁 your videos are 💯 great 👌 keep doing it,True
