author,updated_at,like_count,text,public
@user-bv7ex5tv6t,2024-03-18T13:55:39Z,0,Guy name is pratik magar and is working in capgemini now 😂,True
@sandipansarkar9211,2023-01-16T20:15:39Z,0,finished watching,True
@Nikhil-tv5xp,2021-10-01T09:37:59Z,0,how can I share my resume to you sir for review because I applied many companies but not getting reply for fresher data analyst please help me to make proper resume,True
@priyabratasinha783,2021-09-14T07:09:53Z,1,Thank you Krish.... We need more guidance like this..... Salute you man....,True
@muralifollowers,2021-09-07T17:06:55Z,0,Sir ur telegram channel is link is showing its expired,True
@rahulvijay6611,2021-09-06T23:52:17Z,0,"can you tell us how freshers can make resume with examples, point common mistake that freshers make with your example template",True
@queenndd,2021-09-06T21:13:45Z,0,"Hi Sir, Simplilearn IBM collaborated master course in Data science is good or coursera is good? Please help me.",True
@manojrangera5955,2021-09-06T20:36:41Z,1,Sir... I made a project or image classification in which I have to predict a image belong to benign skin cancer ya malignant skin cancer in this case i took threshold value different then look my confusion matrix and classification report . I am confuse which performance matrix should I need to more focus and why.. Because my both classes are related to medical disease and I don't want to predict it wrong... Please sir help me in this.. I am so much confused right now..,True
@rajatpathak3509,2021-09-06T16:41:32Z,3,"Thanks Krish sir this is very important topic that you discussed , you have actually paid attention to minute detail i.e resume building. 👍 😜 Sir actually take it for granted we really are idiots.",True
@ZEA_TATA,2021-09-06T16:01:07Z,0,"This resume is not bad but it's not in sync with the current trend. This would have been fine if it was done before the year 2015 as many (including me) had a similar type of resume. Now, as the internet is very affordable and access to learning content is unlimited, he/she should have done some projects to demonstrate his/her skillsets.",True
@sayanmukherjee9065,2021-09-06T14:58:53Z,0,"I am from technical background myslef.. revising data science again. But, that guy should have atleast put some project. Because that's a sure shot question for technical round.",True
@kingsnow6718,2021-09-06T14:50:15Z,0,bro fresher ko vese bhi kon consider karta hai .....after everything,True
@meparabdarshan,2021-09-06T14:40:45Z,0,What not to do is also need to understand. Thanks.,True
@akshaymondal1372,2021-09-06T14:27:47Z,1,Can you make a separate video on business analysis . Thanks for sharing 👍🏻❤️,True
@shilpaprusty3319,2021-09-06T14:26:30Z,0,"Hi Krish ,can u create resume template for applying to UK or Europe and Cover letter tips",True
@indranildreams,2021-09-06T14:22:50Z,0,"I am missing your classes in Full stack data Science, please take any chapter ...",True
@hemalkarambelkar9638,2021-09-06T14:20:19Z,0,"He is still in the third year of Engineering, so need to complete one more year of his education. I am really confused, if he is offered a job at this stage, is he going to stop his education?  Or is he applying for a future role he wishes to do after completing his degree way in advance?",True
@rishisingh5581,2021-09-06T14:15:03Z,0,Sir what about affordable courses in Rs. 6500 ?,True
@salmanabdulrahim3032,2021-09-06T14:07:35Z,0,❤️👍🏼👍🏼,True
@amitkhandelwal8030,2021-09-06T13:49:10Z,0,From where I'll get the link to share my resume??,True
@TD-ph3wb,2021-09-06T13:11:22Z,1,"what do you mean he has múltiple certifications, this is so mean and egotistical",True
@rishabhkesarwani5761,2021-09-06T13:07:11Z,1,1/10,True
@ll-kh8jp,2021-09-06T13:01:44Z,0,Thank you Krish 👍,True
@Joker-ou3ls,2021-09-06T12:52:59Z,2,"ill give 0/100 for this resume. no projects, no internships nothing, he seems lazy to write the resume",True
@mausamsingh8801,2021-09-06T12:51:24Z,17,Well...I got my first Job with this kind of resume. In fact mine was lesser detailed than this. But I had to apply to more than 200 jobs. So I'm not endorsing this resume just telling you guys.,True
@block1086,2021-09-06T12:45:18Z,4,"Sir I have sent you my resume, please give your feedback",True
@block1086,2021-09-06T12:43:24Z,1,F,True
@sourabhbhatt5170,2021-09-06T12:40:59Z,3,0/10,True
@carlpei6570,2021-09-06T12:34:04Z,11,"He is in third year...I know in most of the colleges most of the students have only this much knowledge until third year. Btech project is the only project students actually work upon in the college which they add in the resume....I know this is sad reality, but every average college student follow this..",True
@foodie_girl_chennai,2021-09-06T12:32:38Z,2,Sir... I have sent you my resume...Please review my resume,True
@venkatsaisharan6760,2021-09-06T12:29:37Z,3,"Hi Krish, could you make a video on stats interview questions. That would be great, thanks",True
@raph8240,2021-09-06T12:27:54Z,4,Thanks krish I've learnt alot about resume from ur recent videos. I now understand why I was not getting calls,True
@rakeshkumarrout2629,2021-09-06T12:20:51Z,16,Tnq for pinging him personally..so kind of you Krishn..god bless you.. really doing great job..,True
@akshaykava5667,2021-09-06T12:18:18Z,5,Where to send Resume to get reviewed ?,True
