author,updated_at,like_count,text,public
@a_d510,2023-09-02T02:10:07Z,0,In india it's just 3.0 lakh PA 😢for entry level,True
@iqrarhussain2844,2023-08-30T02:53:09Z,0,Yes I am also follow Ur playlist of data analyst than I will apply for job,True
@Super-Sal,2023-08-18T21:52:38Z,0,This guy never replies on email,True
@kakaroto6222,2023-08-15T02:28:36Z,0,What if i want to work outside my country because in my country the salary is veeery low  Anyone pls answer me,True
@russdoesstuff,2023-08-14T18:11:13Z,2,"$120k (+10-12% yearly bonus) for me (while job is listed as consultant, I'm actually doing data analyst work in my industry).",True
@McCarthyMomEater,2023-08-11T02:14:10Z,0,Is it worth studying data science for a bachelors,True
@ridergist,2023-08-07T11:08:14Z,0,Please how do you get data analyst job.,True
@GabyGaraban,2023-08-06T13:43:32Z,0,Why the entry level position are asking for 1 to 3 years of experience? Do you have any ideas about this? How can we get por first Data Analyst job if we have cero experience in real world jobs? 😢,True
@kingdomlightTV8590,2023-08-01T11:48:24Z,0,Please is it per annum or per month,True
@blueberrie1317,2023-08-01T06:42:14Z,0,It shouldnt really differ depending on the location as long as they provide the results needed🎉,True
@kimmaekhyun,2023-08-01T01:50:52Z,4,"Wear your glasses alex, it's like I'm seeing dora without her backpack 😢",True
@neerajmishra2818,2023-07-31T18:07:03Z,0,Alex plz help me to land in a job,True
@donnelly5757,2023-07-31T17:47:22Z,15,"I’m going hard mode. I’ve been watching Alex’s bootcamp series the past couple months and have four portfolio projects. Hopefully, my days working minimum wage jobs are coming to an end.",True
@AmiTVerma-to3vn,2023-07-31T17:45:16Z,2,Nice work alex ❤ I like the outro logo and everything,True
@dueyxdsir6722,2023-07-31T17:24:52Z,0,how do you categorize between entry mid and senior level analysts?,True
@VibeVentureee,2023-07-31T15:22:50Z,0,Please start your bootcamps in your website..,True
@clashclan4739,2023-07-31T15:19:58Z,0,Meanwhile in india on average senior will make 10k usd only 😢,True
@VitorAbreu1001,2023-07-31T15:06:47Z,5,"If we work remotely for a company in the United States and live in Europe, is it common practice to give the same salary, or will they try to adapt to the country you are currently living in?",True
@samshaikh5494,2023-07-31T14:17:13Z,1,And here I’m working at $5K only😢,True
@mr.june307,2023-07-31T13:26:40Z,4,"I am following your data analyst boot camp  I HAVE SOME DOUBTS : 1) if we take one data set and working on it, how to know what to do with that data using  sql or PowerBI 2) In PowerBI,  how to know what to do, like  average or sum or anything how to know where to use it particularly, and Dax also, even we know formulaes but How to know where to use what",True
@mr.june307,2023-07-31T13:23:30Z,0,Hi,True
