author,updated_at,like_count,text,public
@pashahillyard8763,2024-03-16T06:23:40Z,0,"Hey, didn't know you were a fellow Texan! Represent!🇨🇱",True
@AnthonyNesbitt,2024-02-29T00:59:41Z,0,mushrooms,True
@julianoviedo,2023-08-14T15:33:38Z,0,Mushroom!  Great content Alex. Thank you.  I wonder if all of this applies to remote jobs. Or what can we expect by applying from abroad?  If anybody in the community knows I'll appreciate it.,True
@axelbafakan2437,2023-05-08T22:15:51Z,0,"Hi Alex I'm almost done with the last portfolio project on python (4/4). I'm good at SQL, Excel, Tableau and python. Wanna know if it's possible to have a remote job while being in Africa. If yes, what could be my chances with regards to the global job market.",True
@axelbafakan2437,2023-05-08T22:11:21Z,0,Mama's mushroom tastes sweet,True
@lolerskates876,2023-04-16T23:12:03Z,0,"Badger, badger, badger, badger. Mushroom, mushroom! Snake!",True
@kelthekonqrr,2023-02-04T08:26:39Z,0,"Mushroom gang in 2023, never too late to start",True
@ericoliver1975,2022-12-30T18:19:25Z,0,Mushrooms from Puerto Rico 🇵🇷,True
@stefancolic3435,2022-10-14T21:39:23Z,0,mushroom baby,True
@tyreesemcdomick6192,2022-08-11T07:26:07Z,0,Mushroom soup!,True
@easy.peasey,2022-08-11T05:52:54Z,0,Mushrooms :D,True
@wwinston3929,2022-08-08T03:20:44Z,0,"Hey Alex, please help. So I’m currently working as a mechanical engineer at DC and I’m thinking about self learn and becoming a DA. The biggest reason is because of salary. Im working at a pretty large engineering company right now(over 15000 people globally), my starting salary is 75k, and almost everyone at the company gets a promotion every 2 years and get a salary increase of about 8% (asked a couple ppl within the company to confirm these numbers). So im basically expecting to get paid around 100k in 6 years (which is not bad, dont get me wrong, but i just want to explore other/better opportunities). However, 2 of my friends who’s working as data analyst at a local marketing company that has less than 200 employees in Maryland, started with similar salary, and gets a raise of 7500 dollars for just working there for 6 month, and expect to get a raise every 6 month at least for the first couple of years(someone we know worked there for 2 years and already making 120k). But, by looking at all the glassdoor/linkedin data, and your video, DAs dont make that much, so do you think this company is an exception? Or would you say most DAs actually do get an increase jn salary that fast? Thanks",True
@bbfan51,2022-08-01T20:41:25Z,0,Mushroom,True
@beardedmtbr,2022-07-30T05:43:15Z,1,Love it Alex thanks!!,True
@malikvoyard2022,2022-07-25T20:57:05Z,1,Mushroom Squad Babbyyy!,True
