channel_id,playlist_id,video_id,cleaned_title,cleaned_description,cleaned_comments
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,B4U7vNtXBTI,truths i know at but wish i knew at,sign up to morning brew for free today i turned to celebrate i wanted to share life lessons from my last years youtube i hope you find it useful enjoy x links get all lessons i learned in my here the day i became a millionaire by dhh passive barriers blog im launching a productivity community join the waitlist here check out my new york times bestselling book feelgood productivity if youve read the book share your thoughts here by the way you can watch this video in a few other languages by changing the audio settings xx watch next video video video video video video video if you want to start or grow a youtube channel free weekly productivity insights my favourite tools gear rize how i track my time and stay productive superhuman my favourite email app shortform my favourite place for book summaries readwise how i remember everything i read epidemic sound music sfx in my videos notion how i manage my life and business trading how i invest my money my other socials my podcast deep dive my website blog twitter instagram tiktok linkedin facebook who am i if we havent met before hey im ali a doctorturnedentrepreneur and ive somehow become the worlds most followed productivity expert through my videos here this channel my podcast deep dive and writing i share evidencebased strategies and tools to help you be more productive and build a life you love ps some of the links in this description are affiliate links that i get a kickback from timestamps i turned have a bias to action enjoy the journey remove passive barriers design your life intentionally enjoy the journey less is more its okay to leave money the table,thanks for all the support over the years gang you can check out all life lessons from my here happy birthday ali keep being amazing i feel like the videos where you say no one will watch this are the ones i enjoy the most id love to hear more about if you felt financial anxiety an entrepreneur and how you dealdealt with that how to defeat the difficulty in the beginning of the business happy birthday i really loved the video i actually took notes when i was watching this video its been a long time since you posted such an insightful and fresh piece of content not that the other recent ones were bad but this ones just too good thank you you said that enjoy the journey can you please make video exploring deeper this topic because im stressed out and when i want to work myt work or any project i get overwhelmed thinking about results and have panic attacks i know this is too stupid thing to say but i really would appreciate a video this topicnnyour fan khizer mujeeb love to see another video youtubing if you have more to post thank you buddy i love this video making videos is just such a tedious process
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,JuCIU6FpQLs,this is how journaling can beat stress,check out my new york times bestselling book at,minutes a day days a week i believe it also showed benefits physical health to this is helpful i felt the same thing with myself i wrote about my pain point and it gave such relief and clarity thanks for this the level of intellectual rigor and critical thinking among women here is impressive the thoughtfulness and consideration evident in this community are truly commendable its a safe space for open and honest exchange this thread is a fountain of wisdom continuously replenished by the collective knowledge of its participants
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,tsOtjNdMMaI,positive emotions create energy,check out my new york times bestselling book at,i am not a robot so i can only continue working and spend my whole life at it and then die in the end i have other rights to worship god visit my relatives and take care of my family i develop my skills such learning the quran and another language earning money is not happiness but obtaining gods satisfaction and the reassurance that he gives you is true happiness amazing and inspiring but i wish hed slooooow down whats the rush speak at a slower pace and it will be more engaging this is so truennnomatter how exhausted i am if i get a project i like and im excited about it the energy magically appears from nowherennjust finished reading feel good productivity and i cant recommend it enough i feel sorry for aliabdaal every time he posts a vid this two bot keep commenting i am your fan bro its fascinating to witness the evolution of ideas in realtime this thread is a dynamic ecosystem of thought
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,jritw4L1A_4,this is why writers track their word count,check out my new york times bestselling book at,an author myself ive found it difficult to set a words goal because i feel its stifling instead i usually set content goals this topic is what i want to get done today and i let myself get into a flow state and however many words that takes is however many words it takes hello can you give some advice i had seven months for an important exam but now its been a month and ive made very little progress i keep thinking that i wont pass anymore i dont know how to change my mindset how much did disneymarvel pay you what gets measured and all that
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,TmuDsq4m4Ts,how i made an ultimate guide to online courses,this video is a hour masterclass basically everything i know about making and selling online courses if youre interested in selling courses yourself then hopefully theres something useful for you here enjoy x my favourite platform for building a courses business is kajabi and you can get a day free trial by using this link here links podia teachable offers by alex hormozi leads by alex hormozi dotcom secrets by russel brunson expert secrets by russel brunson traffic secrets by russel brunson the millionaire messenger by brendon burchard my interview with nicolas cole my interview with tiago forte my interview with dickie bush if you want to double your productivity join my new community productivity lab check out my new york times bestselling book feelgood productivity if youve read the book share your thoughts here by the way you can watch this video in a few other languages by changing the audio settings xx watch next my playlist how to achieve financial freedom i started a new business it didnt go well my honest advice to someone who wants financial freedom if i wanted to be a millionaire before id do this if you want to start or grow a youtube channel free weekly productivity insights my favourite tools gear rize how i track my time and stay productive superhuman my favourite email app shortform my favourite place for book summaries readwise how i remember everything i read epidemic sound music sfx in my videos notion how i manage my life and business trading how i invest my money my other socials my podcast deep dive my website blog twitter instagram tiktok linkedin facebook who am i if we havent met before hey im ali a doctorturnedentrepreneur and ive somehow become the worlds most followed productivity expert through my videos here this channel my podcast deep dive and writing i share evidencebased strategies and tools to help you be more productive and build a life you love ps some of the links in this description are affiliate links that i get a kickback from timestamps introduction my history of selling courses examples of other course creators the courses business model building your course step by step choosing a platform for your course setting up your course for purchase creating your landing page and website creating your offer the biggest problem traffic and leads frequently asked questions what if you feel you have nothing to teach what order should i do the things to build this kind of business how do you choose a price for your course whats a funnel what if i dont feel like an expert in my field what are the most common mistakes to avoid what do you do about people pirating your content how much should i give away for free how do you handle refunds and dissatisfied students what are some resources you recommend checking out,what was the most usefulinteresting part of this video for you why everyone is talking about amsx i trust your choice amsx so much potential can anyone explain amsx it is funny that not everyone knows about amsx amsx is still extremely undervalued it is very hard to see project which can be used in real life like amsx there are so many opportunity now but i think amsx is the best option just watched your video discussing amsx and i am very excited about this what do you think sets amsx apart from other projects it seems to be dominating discussions lately
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,f6_14nLUWOs,heres how you can read more books this year,check out my new york times bestselling book at,abandon a book does such an option even exist i managed to read book in weeks kindle is so handy recommen it i managed to swap tiktok time to reading in the kindle and any time spent in the tube adds up free free palestine x speed helps get video editing done quicker libby i love reading and normally purchase the hard copy looking forward to reading my fav booksis half the fun a good book is the gift that keeps giving hangout in library my problem with switching from social media to reading books is that social media can be consumed without certain limits whereas in reading books when you get stopped in the middle of a train of thought the next time you have to read it from the beginning of the block anyone have any thoughts that ill definitely try the kindle app in my home screens first page my problem is my focus i cant read for just min i used to enter in hyper focus mode and stay there hours but its a good challenge thank you thanks you really a good mentor
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,GYr9U9YWfI4,find your true motivation,check out my new york times bestselling book at,lfg thanks for this it really resonates one should have both is it good to have both types doing it for a purpose rather than how to find intrinsic motivation free palestine got none of them th first i should get pinned
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,ozboOgVAT1o,three ways to boost your selfconfidence,check out my new york times bestselling book at,this is good advice thanks ali thank you pls contact ive ordered the book are now just waiting for it to arrive cant wait to read it thank you i had to learn to stop saying sorry for things that meditation book called days to stop apologizing by harper daniels was very helpful for bro trying everything to sell us his sht nowadays i want real tips not some read books to get more x oh and btw i have a book buy that why dont you talk about palestine alinis the killing of more than people something unimportant embrace your manhood and testosterone the confidence comes in tandem weow
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,vMvQnQ6lnEM,the best advice i received lately,check out my new york times bestselling book at,youre not suit shadkwing i am currently miserable i am currently poornnthat being said i disagree with the school of thought this comes from because it only make sense in post scarcity when chasing after extra sure the new ferrari fwb or watch will not change living conditions in a significant way enough to drive long term happiness however when it comes to the accomplishment of goals in a scarce environment like acquiring clean water and shelter or a source of supportive community of course these have a significant effect and will drive long term happiness im already happy still enjoying your videos though what if you are not enjoying the journey how do i know when its something i just need to accept and get over vs changing the journey to go around the things i really dont enjoy sometimes you feel even worst after achieving something bcoz you are expected to be responsible for a lot of stuffs and its draining enjoy life whenever you can i started your audiobook and i want to thank you for actually taking into account we might be doing something else while listening and thus can not view diagrams also play celeste if you want to see failure reframed i suck at platformers and failed over times but beat it also it helps you to remember to keep moving forward after celebrating each small win nso that when you achieve the overall arching goal you dont become paralyzed with uncertainty about what to do next you appreciate the accomplishment live in the moment and then move forward
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,7zG1b49aCGI,overwhelmed by your todo list heres your solution,check out my new york times bestselling book at,tq absolutely amazing advice much simpler than gtd can you give some examples of the small admin if i try to call any company i either have to call back wait half an hour or more get redirected then cut off or my question can not be answered at this time here i am sitting down with my cocoa trying to reignite my to do list my tip is dont have kids husbands and pets sunday is my reset day and have soo much to do so useful idea we can use i have your book for the past month but couldnt read it can any one tel that what ali using his two hands thanks bro ali sounds like a good idea ill try it for sure am i the only one watching this from serbia your content is great cant wait to get the book
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,yXpTkzzvgSc,the simplest and most important productivity tip,check out my new york times bestselling book at,although this is good advicei am struggling with the idea often it seems like achievement comes after blood sweat and tearsor at least years of hard work the words enjoyment or adventure dont really come to mind about a year ago i changed my way of thinking that has helped a lot instead of having problems i have challenges i make it my mission to solve that challenge today this change in mindset removes so much stress and makes it fun great advice approaching everyday an adventure free palestine i think everyone would be doing the most important thing if they wernt living in fear mode buts what ifs they make everyone procrastinate focus the thing youd do if you knew you couldnt fail regardless of the fear living in your power is the antidote to fear was feeling inspirational tonight haha wow ali bots reached your comments before a real person did
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,8eIeyZZUEp8,struggling with worklife balance watch this,check out my new york times bestselling book at,i think the key word here is ideal the week i decided to implement alis live by the calendar method i had a traumatic life experience that derailed my planned week so ive been trying to ease back into it ofc my adhd and other bad habits get in the way but thinking of it ideal might curb my ongoing frustrations when i fail to meet my expectations how do you put the ideal week method into practice when working a nonninetofive job im in retail so each week is different when it comes to what days i have off and what hours i work this is simply impossible for certain careers with unpredictable demands what if my mind is hard to shift rd comment
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,sHGRbM2txoI,a week in my life vlog,sign up to my weekly newsletter sunday snippets here hey gang heres a cheeky vlog for you from our team trip in turkey ive been posting the recent vlogs the second channel but thought id experiment with one here enjoy x links im launching a productivity community join the waitlist here check out my new york times bestselling book feelgood productivity if youve read the book share your thoughts here by the way you can watch this video in a few other languages by changing the audio settings xx watch next i started a new business it didnt go well i helped my subscribers fix their productivity how to do more in weeks than others do in months if you want to start or grow a youtube channel free weekly productivity insights my favourite tools gear rize how i track my time and stay productive superhuman my favourite email app shortform my favourite place for book summaries readwise how i remember everything i read epidemic sound music sfx in my videos notion how i manage my life and business trading how i invest my money my other socials my podcast deep dive my website blog twitter instagram tiktok linkedin facebook who am i if we havent yet before hey im ali a doctorturnedentrepreneur and ive somehow become the worlds most followed productivity expert through my videos here this channel my podcast deep dive and writing i share evidencebased strategies and tools to help you be more productive and build a life you love ps some of the links in this description are affiliate links that i get a kickback from,hope you enjoyed the vlog sign up to my free weekly newsletter for more productivity advice and lessons it was great adventure someone who attended ptya in i am very interested to see what changes will be coming our way student lol at the sahil bloom always dunk i bet melina is the most productive out of all of them with her two assistants nice to see you too in my country arabic voice is sooooo bad this career advice is spot i reached out to a friendcolleague once and their team created a unique role just for after some years there i didnt see anything that felt right so i embarked a different pathnni have been semiretired since last summer and started my entrepreneur journey with my first product this past month so happy you are getting out and about now do something that is not work focus go to capadoccia youll regret it if you dont the turkish people are the kindest
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,iQJuv7tmAJQ,the blueprint for achieving your goals,check out my new york times bestselling book at,ali take love whats the full podcast link or video name this idea is sheer genius you have broken down achievementinto simple steps thanks so much for sharing ali will definitely be trying this i got a problem with system then would you like to make a video ielts preparation ali abdaal i suggest you create a full indepth guide into this gps idea of yours it looks promising i love what you preach ali have you ever read the book building a second brain by tiago forte it perfectly encapsulates the systemplan you mention of in this short i think youd love it hey ali please talk more about solition for system i at the moment have a goal a plan i think there is a problem with the system and please answer fast because i got my finals exam tmr and a lot of time had been lost i could really use the remaining time
UCoOae5nYA7VqaXzerajD0lg,UUoOae5nYA7VqaXzerajD0lg,cGWBXeNC_JU,key insights from spotifys ceo,check out my new york times bestselling book at,the guy who was shocked that productivity dropped after layoffs thanks for sharing fet and amsh i trust your choice amsh so much potential big thanks for the insights into fet and amsh both seem like solid picks for the future i am sure that amsh will go x just like you said thank you for sharing amsh i really appreciate it wow he is so young the takeaway here should be spotify ceo admits he only works a few hours a week and yet is paid millions for doing nearly nothing simply because he successfully manages to underpay both artists and his own employees yay capitalism never stop being curious
